permno,adate,qdate,public_date,pe_exi,TICKER
86868,2015-12-31,2016-06-30,2016-09-30,15.272,GS
86868,2015-12-31,2016-06-30,2016-10-31,16.879,GS
86868,2015-12-31,2016-09-30,2016-11-30,17.529,GS
86868,2015-12-31,2016-09-30,2016-12-31,19.141,GS
86868,2015-12-31,2016-09-30,2017-01-31,18.331,GS
86868,2016-12-31,2016-12-31,2017-02-28,15.228,GS
86868,2016-12-31,2016-12-31,2017-03-31,14.102,GS
86868,2016-12-31,2016-12-31,2017-04-30,13.738,GS
86868,2016-12-31,2017-03-31,2017-05-31,11.219,GS
86868,2016-12-31,2017-03-31,2017-06-30,11.784,GS
86868,2016-12-31,2017-03-31,2017-07-31,11.967,GS
86868,2016-12-31,2017-06-30,2017-08-31,11.739,GS
86868,2016-12-31,2017-06-30,2017-09-30,12.444,GS
86868,2016-12-31,2017-06-30,2017-10-31,12.722,GS
86868,2016-12-31,2017-09-30,2017-11-30,12.905,GS
86868,2016-12-31,2017-09-30,2017-12-31,13.276,GS
86868,2016-12-31,2017-09-30,2018-01-31,13.960,GS
86868,2017-12-31,2017-12-31,2018-02-28,29.182,GS
86868,2017-12-31,2017-12-31,2018-03-31,27.953,GS
86868,2017-12-31,2017-12-31,2018-04-30,26.452,GS
86868,2017-12-31,2018-03-31,2018-05-31,21.698,GS
86868,2017-12-31,2018-03-31,2018-06-30,21.188,GS
86868,2017-12-31,2018-03-31,2018-07-31,22.808,GS
86868,2017-12-31,2018-06-30,2018-08-31,19.117,GS
86868,2017-12-31,2018-06-30,2018-09-30,18.026,GS
86868,2017-12-31,2018-06-30,2018-10-31,18.117,GS
86868,2017-12-31,2018-09-30,2018-11-30,13.919,GS
86868,2017-12-31,2018-09-30,2018-12-31,12.193,GS
86868,2017-12-31,2018-09-30,2019-01-31,14.453,GS
86868,2018-12-31,2018-12-31,2019-02-28,7.784,GS
86868,2018-12-31,2018-12-31,2019-03-31,7.598,GS
86868,2018-12-31,2018-12-31,2019-04-30,8.149,GS
86868,2018-12-31,2019-03-31,2019-05-31,7.601,GS
86868,2018-12-31,2019-03-31,2019-06-30,8.521,GS
86868,2018-12-31,2019-03-31,2019-07-31,9.168,GS
86868,2018-12-31,2019-06-30,2019-08-31,8.553,GS
86868,2018-12-31,2019-06-30,2019-09-30,8.693,GS
86868,2018-12-31,2019-06-30,2019-10-31,8.951,GS
86868,2018-12-31,2019-09-30,2019-11-30,9.899,GS
86868,2018-12-31,2019-09-30,2019-12-31,10.283,GS
86868,2018-12-31,2019-09-30,2020-01-31,10.633,GS
86868,2019-12-31,2019-12-31,2020-02-29,9.547,GS
86868,2019-12-31,2019-12-31,2020-03-31,7.351,GS
86868,2019-12-31,2019-12-31,2020-04-30,8.722,GS
86868,2019-12-31,2020-03-31,2020-05-31,10.679,GS
86868,2019-12-31,2020-03-31,2020-06-30,10.740,GS
86868,2019-12-31,2020-03-31,2020-07-31,10.759,GS
86868,2019-12-31,2020-06-30,2020-08-31,15.591,GS
